"","country","year","party","vote","seat","electionyear","epvote","fav_intEU","fav_ep_power","lrgen","lr_econ","lr_econ_slc","postmat_trad","postmat_trad_slc","spend_or_taxes","spend_or_taxes_slc","dereg_mkt","dereg_mkt_slc","stateinterv","laworder","laworder.1","laworder_slc","oppos_libpol","oppos_libpol_slc","religious","religion_slc","reject_immig","immigra_salience","assimil","assimil_slc","envnotimp","env_slc","cosmop_nation","cosmop_nation_slc","nation","mip_one","mip_two","mip_three"
"15","be",2002,"PS",10.2,12.6999998092651,1999,9.59000015258789,0.848333333333333,0.833333333333333,0.335,0.25,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"16","be",2002,"SP",9.6,9.30000019073486,1999,8.84000015258789,0.741666666666667,0.833333333333333,0.35,0.3,NA,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"17","be",2002,"ECOLO",7.3,7.30000019073486,1999,8.4399995803833,0.816666666666667,0.945,0.256,0.24,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"18","be",2002,"AGALEV",7,6,1999,7.46000003814697,0.825,0.95,0.264,0.245,NA,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"19","be",2002,"MR",10.1,12,1999,6.69000005722046,0.87,0.8,0.635,0.73,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"20","be",2002,"VLD",14.3,15.3000001907349,1999,13.6099996566772,0.923333333333333,0.878333333333333,0.623,0.745,NA,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"25","be",2006,"PS",13,16.7000007629394,2003,13.5,0.785,0.916666666666667,0.35,0.317,NA,0.283,NA,0.267000007629394,0.65,0.232999992370606,0.682999992370605,NA,0.367000007629394,0.367000007629394,0.65,0.232999992370606,0.567000007629395,0.133000004291534,0.567000007629395,0.25,0.632999992370605,0.41999998,NA,NA,NA,0.31700001,0.43299999,NA,"","",""
"26","be",2006,"SPA",14.9,15.3000001907349,2003,11,0.766666666666667,0.888333333333333,0.322,0.263,NA,0.263,NA,0.187999999523163,0.7,0.222000002861023,0.8,NA,0.4,0.4,0.513000011444092,0.133000004291534,0.713000011444092,0.162999999523163,0.375,0.375,0.55,0.33800001,NA,NA,NA,0.23800001,0.48800001,NA,"","",""
"29","be",2006,"MR",11.4,16,2003,10.3000001907349,0.905,0.888333333333333,0.667,0.75,NA,0.4,NA,0.85,0.867000007629395,0.75,0.767000007629395,NA,0.7,0.7,0.582999992370605,0.482999992370605,0.55,0.382999992370606,0.45,0.532999992370605,0.582999992370605,0.65999999,NA,NA,NA,0.55,0.45,NA,"","",""
"30","be",2006,"VLD",15.4,16.7000007629394,2003,13.6000003814697,0.966666666666667,0.861666666666667,0.678,0.788,NA,0.3,NA,0.813000011444092,0.763000011444092,0.822000026702881,0.775,NA,0.513000011444092,0.513000011444092,0.675,0.1,0.75,0.113999998569489,0.35,0.613000011444092,0.625,0.55,NA,NA,NA,0.23800001,0.425,NA,"","",""
