"","cntry","cname","essround","vote","clsprty","mmbprty","party_voted","lrgen","supportEU","supportEP","rejectdiffimmig","rejectsameimmig","rejectpoorimmig","immgcntrybetter","antirefugee","assimil","envnotimp","civliberties","libcustoms"
"43","AT","ESS1-8e01",1,1,2,2,"FPO",0.8,NA,0.8,0.666666666666667,0.666666666666667,1,0.3,0.75,0.3,0.4,0.2,0.4
"68","AT","ESS1-8e01",1,1,2,2,"FPO",NA,NA,0,NA,NA,NA,0.1,0.75,0.1,0,0.4,0.2
"72","AT","ESS1-8e01",1,1,1,2,"FPO",0.5,NA,NA,0.666666666666667,0,0.666666666666667,0.4,0.5,0.4,0.4,0.4,0.6
"91","AT","ESS1-8e01",1,1,2,2,"FPO",0.7,NA,0.2,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.5,0.2,0.2,0.2
"104","AT","ESS1-8e01",1,1,2,2,"FPO",0.7,NA,0.3,1,1,1,0.2,0.75,0.5,0.8,0.4,1
"114","AT","ESS1-8e01",1,1,1,2,"FPO",0.5,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.75,0.5,0.2,0.2,0.2
"154","AT","ESS1-8e01",1,1,1,2,"FPO",0.5,NA,0.3,0.666666666666667,0.333333333333333,0.666666666666667,0.3,0.75,0.5,0,0.2,0.4
"157","AT","ESS1-8e01",1,1,2,2,"FPO",0.6,NA,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.7,0.75,0.8,0.2,0.2,1
"205","AT","ESS1-8e01",1,1,1,2,"FPO",0.7,NA,0.2,0.666666666666667,0.666666666666667,0.666666666666667,0.1,0.75,0.1,0.2,0,0.2
"207","AT","ESS1-8e01",1,1,2,2,"FPO",0.6,NA,0.3,0.666666666666667,0.666666666666667,0.666666666666667,0.3,1,0.5,0.4,0.4,0.6
"211","AT","ESS1-8e01",1,1,2,2,"FPO",0.5,NA,0.3,0.666666666666667,0.666666666666667,0.666666666666667,0.4,0.75,0.5,0.2,0.2,0.2
"223","AT","ESS1-8e01",1,1,1,2,"FPO",0.6,NA,0.2,0.333333333333333,1,0,0.3,0.5,0.7,0.2,0.2,0.4
"229","AT","ESS1-8e01",1,1,2,2,"FPO",0.6,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.1,1,0.2,0.2,0,0.4
"233","AT","ESS1-8e01",1,1,2,2,"FPO",0.5,NA,0.2,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0,1,0,1,0
"237","AT","ESS1-8e01",1,1,2,7,"FPO",0.2,NA,0.1,NA,NA,1,0.5,0.75,0.5,0.4,0.4,0.2
"243","AT","ESS1-8e01",1,1,1,2,"FPO",0.6,NA,0.5,1,0.666666666666667,0.666666666666667,0.3,0.75,0.1,0.2,0.2,0
"247","AT","ESS1-8e01",1,1,1,1,"FPO",0.8,NA,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.4,0.75,0.6,0.2,0.4,0.6
"250","AT","ESS1-8e01",1,1,1,2,"FPO",NA,NA,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.75,0.3,0.4,0.8,0.4
"252","AT","ESS1-8e01",1,1,1,2,"FPO",0.8,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.4,0.4,0.2,0.8
"400","AT","ESS1-8e01",1,1,2,2,"FPO",0.7,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.75,0.5,0,0.2,0.4
"455","AT","ESS1-8e01",1,1,1,2,"FPO",0.8,NA,0.3,1,0.666666666666667,1,0.4,NA,0.8,0.4,0.6,0.4
"494","AT","ESS1-8e01",1,1,1,1,"FPO",0.8,NA,0.3,1,1,1,0,1,0,0.8,0.4,0.8
"535","AT","ESS1-8e01",1,1,2,2,"FPO",NA,NA,0.7,1,1,1,0.1,0,0.1,0.4,1,1
"544","AT","ESS1-8e01",1,1,2,2,"FPO",0.7,NA,0.1,1,0.333333333333333,1,0.1,1,0.5,0.6,0.4,0.6
"550","AT","ESS1-8e01",1,1,1,2,"FPO",0.7,NA,0.6,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.4,0,0.2,0.2
"552","AT","ESS1-8e01",1,1,1,2,"FPO",0.6,NA,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.5,0.3,0,0,0
"603","AT","ESS1-8e01",1,1,1,2,"FPO",NA,NA,0.3,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.25,0.6,0.2,0.2,0.4
"604","AT","ESS1-8e01",1,1,1,1,"FPO",0.5,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.2,1,0,0.2,0.2,0.6
"624","AT","ESS1-8e01",1,1,2,2,"FPO",0.6,NA,0.9,1,1,1,0.3,0.5,0.2,0.2,0.2,0.2
"738","AT","ESS1-8e01",1,1,1,2,"FPO",0.5,NA,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.75,0.4,0.2,0.4,0.2
"840","AT","ESS1-8e01",1,1,2,2,"FPO",0.8,NA,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.75,0.5,0.2,0.2,0.2
"860","AT","ESS1-8e01",1,1,1,2,"FPO",0.9,NA,0.3,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.3,NA,NA,NA
"878","AT","ESS1-8e01",1,1,1,2,"FPO",0.5,NA,0.3,0.666666666666667,0.666666666666667,0.666666666666667,0.4,0.75,0.5,0.2,0.2,0.4
"883","AT","ESS1-8e01",1,1,1,2,"FPO",0.6,NA,0.1,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.25,0.5,0.2,0.2,0.2
"894","AT","ESS1-8e01",1,1,1,1,"FPO",0.6,NA,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.4,0.75,0.3,0.2,0.2,0.6
"958","AT","ESS1-8e01",1,1,1,2,"FPO",0.5,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.4,0.75,0.3,0.2,0.4,0.4
"983","AT","ESS1-8e01",1,1,2,2,"FPO",0.3,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.4,1,0.5,0,0.4,1
"988","AT","ESS1-8e01",1,1,2,2,"FPO",NA,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.2,0.2,0.4,0.2
"996","AT","ESS1-8e01",1,1,2,1,"FPO",0.5,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.75,0.5,0.2,0.2,0.4
"1150","AT","ESS1-8e01",1,1,2,2,"FPO",0.6,NA,0.2,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.3,0.2,0.2,0
"1172","AT","ESS1-8e01",1,1,1,2,"FPO",0.8,NA,0.7,0.666666666666667,0.666666666666667,0.666666666666667,0.3,0.75,0.3,0.4,0,0.4
"1180","AT","ESS1-8e01",1,1,1,1,"FPO",0.8,NA,0.2,1,1,1,0.7,1,0.3,0.6,0.4,0.8
"1228","AT","ESS1-8e01",1,1,2,2,"FPO",1,NA,0.5,0.666666666666667,0.333333333333333,0.333333333333333,0.3,0.75,NA,0,0,0.4
"1265","AT","ESS1-8e01",1,1,2,2,"FPO",0.5,NA,0.2,0.666666666666667,0.666666666666667,0.666666666666667,0.5,NA,0.5,0.2,0.2,0.6
"1266","AT","ESS1-8e01",1,1,2,2,"FPO",0.5,NA,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.2,NA,0.7,0.4,0.2,0.6
"1285","AT","ESS1-8e01",1,1,1,1,"FPO",0.8,NA,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.3,0.75,0.3,0.2,0.2,0
"1355","AT","ESS1-8e01",1,1,1,2,"FPO",NA,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.3,1,0,0.4,0.2,0.4
"1432","AT","ESS1-8e01",1,1,1,2,"FPO",0.7,NA,0.6,1,0.666666666666667,1,0.4,1,0.5,0.4,0.6,0.4
"1436","AT","ESS1-8e01",1,1,1,8,"FPO",0.7,NA,0.2,0.666666666666667,0.333333333333333,0.666666666666667,0.3,0.75,0.3,0.2,0,0
"1449","AT","ESS1-8e01",1,1,1,2,"FPO",0.6,NA,0,0.666666666666667,0.666666666666667,0.666666666666667,0.1,0.75,0.5,0,0,0
"1462","AT","ESS1-8e01",1,1,1,2,"FPO",0.6,NA,0,1,1,1,0,1,0,0,0,0
"1477","AT","ESS1-8e01",1,1,1,2,"FPO",0.7,NA,0.2,0.666666666666667,NA,0.666666666666667,0.4,0.5,0.4,0.4,0.2,0.2
"1509","AT","ESS1-8e01",1,1,1,1,"FPO",0.8,NA,0.4,0.666666666666667,0.666666666666667,0.666666666666667,0.2,0.25,0.3,0.4,0,0
